Locustella_[undescribed_form],Locustella_portenta
Locustella_castanea_disturbans,Locustella_disturbans
Locustella_sp.,Helopsaltes/Locustella_sp.
Chaetornis_striata,Schoenicola_striatus
Schoenicola_brevirostris,Catriscus_brevirostris
Amphilais_seebohmi,Bradypterus_seebohmi
Riparia_cincta,Neophedina_cincta
Petrochelidon_fuliginosa/Psalidoprocne_nitens,Atronanus_fuliginosus/Psalidoprocne_nitens
Brachypodius_atriceps,Brachypodius_melanocephalos
Pycnonotus_simplex_perplexus/prillwitzi,Pycnonotus_simplex_prillwitzi/perplexus
Alophoixus_bres_tephrogenys/gutturalis,Alophoixus_tephrogenys
Alophoixus_ochraceus_ruficrissus/fowleri,Alophoixus_ruficrissus
Alophoixus_bres_bres/balicus,Alophoixus_bres
Alophoixus_ochraceus_[ochraceus_Group],Alophoixus_ochraceus
Phylloscopus_maforensis,Phylloscopus_poliocephalus
Phylloscopus_[undescribed_form_2],Phylloscopus_poliocephalus_suaramerdu
Phylloscopus_[undescribed_form_1],Phylloscopus_poliocephalus_emilsalimi
Phylloscopus_maforensis_henrietta,Phylloscopus_poliocephalus_henrietta
Phylloscopus_maforensis_waterstradti,Phylloscopus_poliocephalus_waterstradti
Phylloscopus_maforensis_everetti,Phylloscopus_poliocephalus_everetti
Phylloscopus_maforensis_ceramensis,Phylloscopus_poliocephalus_ceramensis
Phylloscopus_maforensis_avicola,Phylloscopus_poliocephalus_avicola
Phylloscopus_maforensis_[poliocephalus_Group],Phylloscopus_poliocephalus_[poliocephalus_Group]
Phylloscopus_maforensis_[matthiae_Group],Phylloscopus_poliocephalus_[matthiae_Group]
Phylloscopus_maforensis_maforensis,Phylloscopus_maforensis
Phylloscopus_maforensis_misoriensis,Phylloscopus_misoriensis
Parophasma_galinieri,Sylvia_galinieri
Sylvia_nisoria,Curruca_nisoria
Sylvia_layardi,Curruca_layardi
Sylvia_boehmi,Curruca_boehmi
Sylvia_subcoerulea,Curruca_subcoerulea
Sylvia_curruca,Curruca_curruca
Sylvia_curruca_curruca/blythi,Curruca_curruca_curruca/blythi
Sylvia_curruca_halimodendri,Curruca_curruca_halimodendri
Sylvia_curruca_curruca/blythi/halimodendri,Curruca_curruca_curruca/blythi/halimodendri
Sylvia_curruca_minula,Curruca_curruca_minula
Sylvia_curruca_curruca/minula,Curruca_curruca_curruca/minula
Sylvia_curruca_margelanica,Curruca_curruca_margelanica
Sylvia_curruca_minula/margelanica,Curruca_curruca_minula/margelanica
Sylvia_curruca_althaea,Curruca_curruca_althaea
Sylvia_curruca_curruca_/althaea,Curruca_curruca_curruca/althaea
Sylvia_curruca_curruca/minula/althaea,Curruca_curruca_curruca/minula/althaea
Sylvia_lugens,Curruca_lugens
Sylvia_lugens_griseiventris,Curruca_lugens_griseiventris
Sylvia_lugens_[lugens_Group],Curruca_lugens_[lugens_Group]
Sylvia_buryi,Curruca_buryi
Sylvia_leucomelaena,Curruca_leucomelaena
Sylvia_hortensis,Curruca_hortensis
Sylvia_crassirostris,Curruca_crassirostris
Sylvia_hortensis/crassirostris,Curruca_hortensis/crassirostris
Sylvia_deserti,Curruca_deserti
Sylvia_nana,Curruca_nana
Sylvia_deserticola,Curruca_deserticola
Sylvia_mystacea,Curruca_mystacea
Sylvia_mystacea_mystacea,Curruca_mystacea_mystacea
Sylvia_mystacea_rubescens/turcmenica,Curruca_mystacea_rubescens/turcmenica
Sylvia_ruppeli,Curruca_ruppeli
Sylvia_melanothorax,Curruca_melanothorax
Sylvia_melanocephala,Curruca_melanocephala
Sylvia_subalpina,Curruca_subalpina
Sylvia_cantillans_inornata,Curruca_iberiae
Sylvia_cantillans,Curruca_iberiae/cantillans
Sylvia_cantillans/subalpina,Curruca_subalpina/iberiae/cantillans
Sylvia_communis,Curruca_communis
Sylvia_conspicillata,Curruca_conspicillata
Sylvia_sarda,Curruca_sarda
Sylvia_undata,Curruca_undata
Sylvia_balearica,Curruca_balearica
Sylvia_sp.,Sylvia/Curruca_sp.
Chrysomma_poecilotis,Moupinia_poecilotis
Paradoxornis_heudei,Calamornis_heudei
Paradoxornis_heudei_polivanovi,Calamornis_heudei_polivanovi
Paradoxornis_heudei_heudei,Calamornis_heudei_heudei
Suthora_nipalensis_nipalensis/crocotius,Suthora_nipalensis_nipalensis/garhwalensis
Suthora_nipalensis_humii,Suthora_nipalensis_humii/crocotia
Paradoxornithidae_sp.,Sylviidae_(parrotbill_sp.)
Yuhina_diademata,Parayuhina_diademata
Yuhina_everetti,Staphida_everetti
Yuhina_castaniceps,Staphida_castaniceps
Yuhina_torqueola,Staphida_torqueola
Yuhina_sp.,Parayuhina/Staphida/Yuhina_sp.
Lophozosterops_javanicus,Heleia_javanica
Lophozosterops_pinaiae,Heleia_pinaiae
Oculocincta_squamifrons,Heleia_squamifrons
Lophozosterops_goodfellowi,Heleia_goodfellowi
Lophozosterops_squamiceps,Heleia_squamiceps
Lophozosterops_superciliaris,Heleia_superciliaris
Lophozosterops_dohertyi,Heleia_dohertyi
Zosterops_wallacei,Heleia_wallacei
Chlorocharis_emiliae,Zosterops_emiliae
Zosterops_palpebrosus/simplex,Zosterops_simplex/palpebrosus
Zosterops_abyssinicus_socotranus,Zosterops_socotranus
