ORIGINAL LABEL, OTT TAXON NAME, OTT TAXON ID
Cacomantis aeruginosus, Cacomantis aeruginosus,6151422
Merops americanus, Merops americanus,6151385
Coracias affinis, Coracias affinis,6151371
Todiramphus tristrami, Todiramphus tristrami,6151363
Todiramphus sacer, Todiramphus sacer,6151360
Todiramphus reichenbachii, Todiramphus reichenbachii,6151359
Todiramphus pelewensis, Todiramphus pelewensis,6151358
Todiramphus colonus, Todiramphus colonus,6151352
Halcyon gularis, Halcyon gularis,6151339
Ceyx wallacii, Ceyx wallacii,6151332
Ceyx uropygialis, Ceyx uropygialis,6151331
Ceyx solitarius, Ceyx solitarius,6151330
Ceyx sacerdotis, Ceyx sacerdotis,6151329
Ceyx pallidus, Ceyx pallidus,6151328
Ceyx nigromaxilla, Ceyx nigromaxilla,6151327
Ceyx mulcatus, Ceyx mulcatus,6151325
Ceyx meeki, Ceyx meeki,6151322
Ceyx margarethae, Ceyx margarethae,6151321
Ceyx malaitae, Ceyx malaitae,6151320
Ceyx gentianus, Ceyx gentianus,6151319
Ceyx flumenicola, Ceyx flumenicola,6151318
Ceyx dispar, Ceyx dispar,6151317
Ceyx collectoris, Ceyx collectoris,6151315
Ceyx cajeli, Ceyx cajeli,6151314
Streptopelia dusumieri, Streptopelia dusumieri,6151277
Macropygia timorlaoensis, Macropygia timorlaoensis,6151238
Ducula luctuosa, Ducula luctuosa,6151198
Calidris virgata, Calidris virgata,6151078
Synthliboramphus scrippsi, Synthliboramphus scrippsi,6150946
Eurostopodus nigripennis, Eurostopodus nigripennis,6150925
Eurostopodus exul, Eurostopodus exul,6150924
Caprimulgus phalaena, Caprimulgus phalaena,6150904
Rhyticeros cassidix, Rhyticeros cassidix,6150877
Geospiza propinqua, Geospiza propinqua,5991470
Geospiza acutirostris, Geospiza acutirostris,5991469
Otus cyprius, Otus scops cyprius,5925791
Mulleripicus fuliginosus, Mulleripicus fuliginosus,5925777
Pyrocephalus nanus, Pyrocephalus nanus,5925763
Locustella idonea, Locustella idonea,5925744
Locustella chengi, Locustella chengi,5925743
Calandrella eremica, Calandrella blanfordi eremica,5925706
Montecincla meridionalis, Montecincla meridionalis,5925694
Montecincla jerdoni, Montecincla jerdoni,5925693
Asthenes ayacuchensis, Asthenes vilcabambae ayacuchensis,5925688
Tetrao urogalloides, Tetrao urogalloides,5925680
Symposiachrus rubiensis, Symposiachrus rubiensis,5861452
Bambusicola sonorivox, Bambusicola thoracicus sonorivox,5861117
Pternistis atrifrons, Francolinus castaneicollis atrifrons,5861116
Todiramphus sordidus, Todiramphus sordidus,5859986
Todiramphus albicilla, Todiramphus albicilla,5859984
Ficedula owstoni, Ficedula narcissina owstoni,5859958
Muscicapa dauurica, Muscicapa dauurica,5859956
Geospiza septentrionalis, Geospiza difficilis septentrionalis,5859950
Passer castanopterus, Passer castanopterus,5859927
Platysteira blissetti, Platysteira blissetti,5859905
Pachycephala chlorura, Pachycephala chlorura,5859901
Pachycephala feminina, Pachycephala feminina,5859900
Cinclosoma clarum, Cinclosoma clarum,5859898
Sarkidiornis sylvicola, Sarkidiornis sylvicola,5859876
Thalasseus albididorsalis, Thalasseus maximus albididorsalis,5859773
Chrysocolaptes xanthocephalus, Chrysocolaptes lucidus xanthocephalus,5859742
Chrysocolaptes strictus, Chrysocolaptes lucidus strictus,5859741
Coracias spatulatus, Coracias spatulatus,5857415
Todiramphus winchelli, Todiramphus winchelli,5857394
Todiramphus ruficollaris, Todiramphus ruficollaris,5857393
Todiramphus gertrudae, Todiramphus gertrudae,5857392
Muscicapa sodhii, Muscicapa sodhii,5857382
